1777014,BOOT reset_reason=OTHER heap=329200
13864,BOOT reset_reason=OTHER heap=329200
16965,BLE: initial advertising start OK
1631257,watchdog: PPG lost contact, firing warning beep
1634339,watchdog: PPG lost contact, firing warning beep
1637382,watchdog: PPG lost contact, firing warning beep
1640452,watchdog: PPG lost contact, firing warning beep
1643494,watchdog: PPG lost contact, firing warning beep
1646576,watchdog: PPG lost contact, firing warning beep
1649657,watchdog: PPG lost contact, firing warning beep
1652739,watchdog: PPG lost contact, firing warning beep
1655821,watchdog: PPG lost contact, firing warning beep
1658892,watchdog: PPG lost contact, firing warning beep
1661974,watchdog: PPG lost contact, firing warning beep
1665055,watchdog: PPG lost contact, firing warning beep
1668137,watchdog: PPG lost contact, firing warning beep
1671218,watchdog: PPG lost contact, firing warning beep
1674300,watchdog: PPG lost contact, firing warning beep
1677373,watchdog: PPG lost contact, firing warning beep
1680453,watchdog: PPG lost contact, firing warning beep
1683535,watchdog: PPG lost contact, firing warning beep
1686616,watchdog: PPG lost contact, firing warning beep
1689698,watchdog: PPG lost contact, firing warning beep
1692780,watchdog: PPG lost contact, firing warning beep
1695861,watchdog: PPG lost contact, firing warning beep
1698933,watchdog: PPG lost contact, firing warning beep
1702014,watchdog: PPG lost contact, firing warning beep
1705096,watchdog: PPG lost contact, firing warning beep
1708179,watchdog: PPG lost contact, firing warning beep
1711259,watchdog: PPG lost contact, firing warning beep
1714341,watchdog: PPG lost contact, firing warning beep
1717413,watchdog: PPG lost contact, firing warning beep
1720575,watchdog: PPG lost contact, firing warning beep
1723656,watchdog: PPG lost contact, firing warning beep
1726737,watchdog: PPG lost contact, firing warning beep
1729819,watchdog: PPG lost contact, firing warning beep
1732901,watchdog: PPG lost contact, firing warning beep
1735972,watchdog: PPG lost contact, firing warning beep
1739054,watchdog: PPG lost contact, firing warning beep
1016274,BOOT reset_reason=OTHER heap=329200
1221670,BOOT reset_reason=OTHER heap=329200
1224836,BLE: initial advertising start OK
1263398,BLE: client connected
1381559,BLE: client disconnected, restarting advertising
1381823,BLE: advertising restarted OK
16184,BOOT reset_reason=OTHER heap=329200
19362,BLE: initial advertising start OK
24452,BLE: client connected
511642,BLE: client disconnected, restarting advertising
511898,BLE: advertising restarted OK
